Country,Year,Value
Albania,2007,30964
Albania,2006,32380
Albania,2005,42840
Albania,2004,42787
Albania,2003,27893
Albania,2002,35883
Albania,2001,30491
Albania,2000,30683
Albania,1999,38284
Albania,1995,40311
Albania,1990,28385
Algeria,2008,100000
Algeria,2002,37317
Algeria,2001,43840
Algeria,2000,64430
Algeria,1999,50150
Algeria,1998,66470
Algeria,1997,74460
Algeria,1996,53380
Algeria,1995,90270
Algeria,1990,76160
Andorra,2007,306.6300049
Andorra,2006,353.2200012
Andorra,2005,530.2780151
Andorra,2004,567.0440063
Andorra,2003,566.5830078
Andorra,2002,565.559021
Andorra,2001,456.6260071
Andorra,2000,518.6660156
Andorra,1999,450.151001
Andorra,1998,254
Andorra,1997,434.4750061
Andorra,1996,560.3400269
Andorra,1995,510.6730042
Andorra,1990,539.947998
Anguilla,2009,71.08000183
Anguilla,2008,96.88999939
Anguilla,2007,86.29000092
Anguilla,2006,99.55000305
Anguilla,2005,124.4000015
Anguilla,2004,84.25
Anguilla,2003,108.7699966
Anguilla,2002,68.19000244
Anguilla,2001,70.73000336
Anguilla,2000,68.19000244
Anguilla,1995,100.7300034
Anguilla,1990,93.09999847
Antigua and Barbuda,2009,276.8999939
Antigua and Barbuda,2008,392.5
Antigua and Barbuda,2007,293.6000061
Antigua and Barbuda,2006,332.7999878
Antigua and Barbuda,2005,371
Antigua and Barbuda,2004,426.8999939
Antigua and Barbuda,2003,253.8999939
Antigua and Barbuda,2002,268.6000061
Antigua and Barbuda,2001,238
Antigua and Barbuda,2000,249.6000061
Antigua and Barbuda,1999,426.7999878
Antigua and Barbuda,1998,384.5
Antigua and Barbuda,1997,279.2000122
Antigua and Barbuda,1996,323.2999878
Antigua and Barbuda,1995,374.5
Antigua and Barbuda,1990,300.2999878
Armenia,2009,17713
Armenia,2008,13378
Armenia,2007,19221
Armenia,2006,16658
Armenia,2005,18714
Armenia,2004,15287
Armenia,2003,18595
Armenia,2002,17761
Armenia,2001,12516
Armenia,2000,11264
Armenia,1999,14393
Armenia,1998,13559
Armenia,1997,18595
Armenia,1996,16777
Armenia,1995,15407
Armenia,1990,15794
Azerbaijan,2009,49463.30078
Azerbaijan,2008,38372.5
Azerbaijan,2007,43126.80078
Azerbaijan,2006,40009
Azerbaijan,2005,35252.30078
Azerbaijan,2004,47534.69922
Azerbaijan,2003,50728.39844
Azerbaijan,2002,46787.39844
Azerbaijan,2001,32707.90039
Azerbaijan,2000,38368.5
Azerbaijan,1999,37850
Azerbaijan,1997,36381
Azerbaijan,1996,30764
Azerbaijan,1995,36294.60156
Azerbaijan,1990,41998
Bahrain,2007,47.29999924
Bahrain,2006,212.1000061
Bahrain,2005,74.19999695
Bahrain,2004,59.79999924
Bahrain,2003,66.59999847
Bahrain,2002,60.29999924
Bahrain,2001,39.29999924
Bahrain,2000,128.3000031
Bahrain,1999,94.90000153
Bahrain,1998,96.69999695
Bahrain,1997,176.8000031
Bahrain,1996,87.19999695
Bahrain,1995,225.5
Bahrain,1990,45
Barbados,1996,656.1799927
Barbados,1995,573.1900024
Barbados,1990,705.6300049
Belarus,2009,167877
Belarus,2008,142623
Belarus,2007,131826
Belarus,2006,133902
Belarus,2005,134732
Belarus,2004,145720
Belarus,2003,127894
Belarus,2002,115042
Belarus,2001,139294
Belarus,2000,135978
Belarus,1999,116286
Belarus,1998,172045
Belarus,1997,138054
Belarus,1996,125805.6016
Belarus,1995,127258.7969
Belarus,1990,151963.2031
Belgium,2007,31476
Belgium,2006,29326
Belgium,2005,26028
Belgium,2004,28408
Belgium,2003,23040
Belgium,2002,33599
Belgium,2001,34094
Belgium,2000,32397
Belgium,1999,31154
Belgium,1998,32805
Belgium,1997,24767
Belgium,1996,21763
Belgium,1995,28496
Belize,2005,49017
Belize,2004,40278
Belize,2003,38847
Belize,2002,40442
Belize,2001,45796
Benin,2008,108457
Benin,2007,106772
Bermuda,2009,77.40000153
Bermuda,2008,76.5
Bermuda,2007,76.09999847
Bermuda,2006,80.79999542
Bermuda,2005,70.44000244
Bermuda,2004,79.59999847
Bermuda,2003,79.40000153
Bermuda,2002,83.40000153
Bermuda,2001,81.80000305
Bermuda,2000,92.90000153
Bermuda,1990,60.90000153
Bosnia and Herzegovina,1990,64000
Botswana,1997,270048
Botswana,1996,299148
Botswana,1995,239202
Botswana,1990,183912
British Virgin Islands,2005,163.1499939
British Virgin Islands,2004,183.2100067
British Virgin Islands,2003,190.8399963
British Virgin Islands,2002,116.3199997
British Virgin Islands,2001,147.5099945
British Virgin Islands,2000,145.5500031
British Virgin Islands,1999,185.5500031
British Virgin Islands,1995,152.0700073
Brunei Darussalam,2003,15518.0498
Brunei Darussalam,2002,16023.26953
Brunei Darussalam,2001,21451.7207
Brunei Darussalam,2000,19954.50977
Brunei Darussalam,1999,19561.99023
Brunei Darussalam,1995,17211.14063
Brunei Darussalam,1990,14190.44043
Cameroon,2009,785944
Central African Republic,2007,900370.125
Central African Republic,2006,854861.9375
Central African Republic,2005,820703.875
Central African Republic,2004,826091.375
Central African Republic,2003,904821.0625
Central African Republic,2002,883377.5
Central African Republic,2001,859846.5625
Central African Republic,2000,763949.8125
Central African Republic,1999,974570.4375
Central African Republic,1998,852786.375
Central African Republic,1997,853232.0625
Central African Republic,1996,954153.25
Central African Republic,1995,918760.6875
Central African Republic,1990,828919.3125
Chile,2007,800225.1875
Chile,2006,1181614
Chile,2005,1231319.25
Chile,2004,1272096.625
Chile,2003,1377889
Chile,2002,1306221
Chile,2001,1239664
Chile,2000,1160289
Chile,1999,1083755
Chile,1998,951060
Chile,1997,1315783
Chile,1996,897224
Chile,1995,971392
Chile,1990,1152225
China,2009,5596600
China,2008,6200000
China,2007,5776300
China,2006,5784000
China,2005,6101000
China,2004,5687600
China,2003,6041600
China,2002,6261000
China,2001,5812200
China,2000,6009200
"China, Hong Kong SAR",2009,2396.165283
"China, Hong Kong SAR",2008,3366.6875
"China, Hong Kong SAR",2007,1874
"China, Hong Kong SAR",2006,2885
"China, Hong Kong SAR",2005,3530
"China, Hong Kong SAR",2004,1909
"China, Hong Kong SAR",2003,2132
"China, Hong Kong SAR",2002,2734
"China, Hong Kong SAR",2001,3394.800049
"China, Hong Kong SAR",2000,3022
"China, Hong Kong SAR",1999,2337.800049
"China, Hong Kong SAR",1998,2815.899902
"China, Hong Kong SAR",1997,3670.600098
"China, Hong Kong SAR",1996,2469.5
"China, Hong Kong SAR",1995,3024.300049
"China, Hong Kong SAR",1990,2247.5
"China, Macao SAR",2009,42.13000107
"China, Macao SAR",2008,73.19999695
"China, Macao SAR",2007,38.11999893
"China, Macao SAR",2006,51.95000076
"China, Macao SAR",2005,49.37400055
"China, Macao SAR",2004,39.41600037
"China, Macao SAR",2003,38.74000168
"China, Macao SAR",2002,56.7840004
"China, Macao SAR",2001,66.45600128
"China, Macao SAR",2000,59.7480011
"China, Macao SAR",1999,50.07600021
"China, Macao SAR",1998,62.68999863
"China, Macao SAR",1997,70.63999939
"China, Macao SAR",1996,44.97999954
"China, Macao SAR",1995,44.17399979
"China, Macao SAR",1990,32.42200089
Colombia,2008,2545813
Colombia,2007,2492041
Colombia,2006,2509840
Colombia,2005,2467871
Colombia,2004,2154068
Colombia,2003,2263478
Colombia,2002,2044818
Colombia,2001,2059180
Colombia,2000,2529872
Colombia,1999,2897358
Colombia,1998,2501223
Colombia,1997,1945543
Colombia,1996,2599285
Colombia,1995,2399888
Colombia,1990,2190672
Cote d'Ivoire,1990,420000
Croatia,2007,60255
Croatia,2006,57114
Croatia,2005,67593
Croatia,2004,68673
Croatia,2003,45655
Croatia,2002,70169
Croatia,2001,62517
Croatia,2000,53137
Croatia,1999,66562
Croatia,1995,72072
Croatia,1990,51723
Cuba,2009,114559
Cuba,2008,150892
Cuba,2007,173896
Cuba,2006,143146
Cuba,2005,160396
Cuba,2004,102002
Cuba,2003,136931
Cuba,2002,153003
Cuba,2001,147753
Cuba,2000,135646
Cuba,1999,151182
Cuba,1998,147860
Cuba,1997,139824
Cuba,1996,161360
Cuba,1995,164789
Cuba,1990,149467
Cyprus,2009,3745
Cyprus,2008,1648
Cyprus,2007,2767
Cyprus,2006,2326
Cyprus,2005,2303
Cyprus,2004,3227
Cyprus,2003,3214
Cyprus,2002,2841
Cyprus,2001,3213
Cyprus,2000,3152
Cyprus,1999,1932
Cyprus,1998,2483
Cyprus,1997,2573
Cyprus,1996,2998
Cyprus,1995,1551
Cyprus,1990,1711
Czech Republic,2009,59046
Czech Republic,2008,49105
Czech Republic,2007,59544
Czech Republic,2006,55837
Czech Republic,2005,57730
Czech Republic,2004,53629
Czech Republic,2003,40695
Czech Republic,2002,71298
Czech Republic,2001,63960
Czech Republic,2000,54733
Czech Republic,1999,49291
Czech Republic,1998,56153
Czech Republic,1997,57809
Czech Republic,1996,54890
Czech Republic,1995,61514
Czech Republic,1990,46064
Denmark,2009,31588
Denmark,2008,33742
Denmark,2007,37319
Denmark,2006,34500
Denmark,2005,27000
Denmark,2004,34500
Denmark,2003,26500
Denmark,2002,36500
Denmark,2001,32000
Denmark,2000,32000
Denmark,1999,47109
Denmark,1998,44766
